tipo,caminho,nome,funcao,estado,pode_alterar,risco,observacoes
classificacao,.,marcus-reboque,raiz do futuro projeto,projeto novo parcialmente iniciado,sim,baixo,"Sem scaffold web; contem documentos e biblioteca visual"
diretorio,IMAGENS_MARCUS_REBOQUE,IMAGENS_MARCUS_REBOQUE,biblioteca visual oficial,ativo preservado,nao,baixo,"83 imagens; 69 publicaveis e 14 pendentes"
diretorio,IMAGENS_MARCUS_REBOQUE/99_PENDENTES_DE_REVISAO,99_PENDENTES_DE_REVISAO,ativos nao publicaveis nesta fase,pendente,nao,medio,"Nao publicar sem revisao"
diretorio,Photos-3-001,Photos-3-001,residuo de lote original,vazio,sim,baixo,"Diretorio vazio; pode confundir inventarios futuros"
diretorio,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/05_UTILITARIOS,05_UTILITARIOS,lacuna visual de utilitarios,vazio,sim,medio,"Nao preencher com imagem de outra categoria"
diretorio,IMAGENS_MARCUS_REBOQUE/02_HERO,02_HERO,imagens hero aprovadas,ativo preservado,nao,baixo,"Hero principal exclusivo da homepage"
arquivo,BACKUP_COMPLETO_NOMES_E_CAMINHOS_ORIGINAIS_MARCUS_REBOQUE.csv,BACKUP_COMPLETO_NOMES_E_CAMINHOS_ORIGINAIS_MARCUS_REBOQUE.csv,backup de rastreabilidade,documento obrigatorio,nao,baixo,"Lido integralmente"
arquivo,RELATORIO_FINAL_RENOMEACAO_E_ORGANIZACAO_MARCUS_REBOQUE.md,RELATORIO_FINAL_RENOMEACAO_E_ORGANIZACAO_MARCUS_REBOQUE.md,relatorio final de organizacao,documento obrigatorio,nao,baixo,"Lido integralmente"
arquivo,MAPA_FINAL_ATIVOS_VISUAIS_MARCUS_REBOQUE.csv,MAPA_FINAL_ATIVOS_VISUAIS_MARCUS_REBOQUE.csv,mapa final dos ativos,documento obrigatorio,nao,baixo,"Lido integralmente"
arquivo,PENDENCIAS_VISUAIS_MARCUS_REBOQUE.md,PENDENCIAS_VISUAIS_MARCUS_REBOQUE.md,pendencias visuais,documento obrigatorio,nao,medio,"Lido integralmente; pendentes nao publicaveis"
arquivo,AUDITORIA_PRE_RENOMEACAO_IMAGENS_MARCUS_REBOQUE.md,AUDITORIA_PRE_RENOMEACAO_IMAGENS_MARCUS_REBOQUE.md,auditoria pre-renomeacao,documento obrigatorio,nao,baixo,"Lido integralmente"
arquivo,MATRIZ_COBERTURA_VISUAL_PAGINAS_MARCUS_REBOQUE.csv,MATRIZ_COBERTURA_VISUAL_PAGINAS_MARCUS_REBOQUE.csv,cobertura visual por pagina,documento obrigatorio,nao,baixo,"Lido integralmente"
