rota,slug,tipo,gerada_build,http,title,description,canonical,h1,robots,imagem_principal,schema,links_entrada,links_saida,similaridade,status,observacoes
"/servicos","servicos","hub","sim","200","Hub de serviços | Marcus Reboque","Catálogo central de guincho e transporte em Fortaleza.","/servicos","Catálogo de guincho, reboque e transporte em Fortaleza","noindex,nofollow","sem imagem principal própria","CollectionPage;BreadcrumbList;ItemList","home;header;footer","cards do catálogo;WhatsApp;home","MÉDIA","publicada","Build gera /servicos sem barra final; /servicos/ redireciona."
"/servicos/guincho-para-motos-fortaleza","guincho-para-motos-fortaleza","detalhe","sim","200","Guincho para motos | Marcus Reboque","Remoção e transporte de motos com cuidado na amarração.","/servicos/guincho-para-motos-fortaleza","Guincho para motos","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/guincho-para-carros-fortaleza","guincho-para-carros-fortaleza","detalhe","sim","200","Guincho para carros | Marcus Reboque","Reboque para carros em pane, colisão ou transporte programado.","/servicos/guincho-para-carros-fortaleza","Guincho para carros","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/guincho-para-caminhonetes-fortaleza","guincho-para-caminhonetes-fortaleza","detalhe","sim","200","Guincho para caminhonetes | Marcus Reboque","Atendimento para caminhonetes e picapes com avaliação do porte.","/servicos/guincho-para-caminhonetes-fortaleza","Guincho para caminhonetes","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/guincho-para-vans-fortaleza","guincho-para-vans-fortaleza","detalhe","sim","200","Guincho para vans | Marcus Reboque","Transporte de vans sob análise de altura e rota.","/servicos/guincho-para-vans-fortaleza","Guincho para vans","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/transporte-de-utilitarios-fortaleza","transporte-de-utilitarios-fortaleza","detalhe","sim","200","Transporte de utilitários | Marcus Reboque","Solução sob consulta para utilitários leves.","/servicos/transporte-de-utilitarios-fortaleza","Transporte de utilitários","noindex,nofollow","institucional","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Sem imagem dedicada; tratamento institucional honesto."
"/servicos/transporte-de-veiculos-especiais-fortaleza","transporte-de-veiculos-especiais-fortaleza","detalhe","sim","200","Transporte de veículos especiais | Marcus Reboque","Remoção e deslocamento de veículos fora do padrão comum.","/servicos/transporte-de-veiculos-especiais-fortaleza","Transporte de veículos especiais","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/transporte-de-barcos-fortaleza","transporte-de-barcos-fortaleza","detalhe","sim","200","Transporte de barcos e jet skis | Marcus Reboque","Transporte sob consulta para embarcações leves.","/servicos/transporte-de-barcos-fortaleza","Transporte de barcos e jet skis","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/transporte-de-maquinas-agricolas-fortaleza","transporte-de-maquinas-agricolas-fortaleza","detalhe","sim","200","Transporte de máquinas agrícolas | Marcus Reboque","Deslocamento de máquinas de pequeno porte mediante avaliação.","/servicos/transporte-de-maquinas-agricolas-fortaleza","Transporte de máquinas agrícolas","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/transporte-de-veiculos-antigos-fortaleza","transporte-de-veiculos-antigos-fortaleza","detalhe","sim","200","Transporte de veículos antigos | Marcus Reboque","Transporte cuidadoso para veículos antigos e colecionáveis.","/servicos/transporte-de-veiculos-antigos-fortaleza","Transporte de veículos antigos","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/transporte-de-empilhadeiras-fortaleza","transporte-de-empilhadeiras-fortaleza","detalhe","sim","200","Transporte de empilhadeiras | Marcus Reboque","Remoção de empilhadeiras sob consulta técnica.","/servicos/transporte-de-empilhadeiras-fortaleza","Transporte de empilhadeiras","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Cobertura visual mais fraca; melhor imagem aprovada mantida."
"/servicos/guincho-para-pequenos-caminhoes-fortaleza","guincho-para-pequenos-caminhoes-fortaleza","detalhe","sim","200","Guincho para pequenos caminhões | Marcus Reboque","Atendimento para pequenos caminhões compatíveis com a operação.","/servicos/guincho-para-pequenos-caminhoes-fortaleza","Guincho para pequenos caminhões","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/transporte-de-pequenas-cargas-fortaleza","transporte-de-pequenas-cargas-fortaleza","detalhe","sim","200","Transporte de pequenas cargas | Marcus Reboque","Apoio para pequenas cargas compatíveis com plataforma.","/servicos/transporte-de-pequenas-cargas-fortaleza","Transporte de pequenas cargas","noindex,nofollow","sim","BreadcrumbList;Service;FAQPage","home;hub;header;footer;cards relacionados","WhatsApp;telefone;hub;relacionados","MÉDIA","publicada","Página estática SSG com imagem dedicada."
"/servicos/guincho-reboque-24h-fortaleza","guincho-reboque-24h-fortaleza","operacional prevista","nao","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","instrução da auditoria","nenhum","n/a","ausente","Não criar nesta fase."
"/servicos/auto-socorro-24h-fortaleza","auto-socorro-24h-fortaleza","operacional prevista","nao","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","instrução da auditoria","nenhum","n/a","ausente","Não criar nesta fase."
"/servicos/transporte-emergencial-fortaleza","transporte-emergencial-fortaleza","operacional prevista","nao","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","instrução da auditoria","nenhum","n/a","ausente","Não criar nesta fase."
"/servicos/transporte-programado-fortaleza","transporte-programado-fortaleza","operacional prevista","nao","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","instrução da auditoria","nenhum","n/a","ausente","Não criar nesta fase."
